,uid,isbn,rating
5,14,0061076031,5
6,14,0439095026,5
7,14,0689821166,6
11,19,0375759778,7
23,51,0440225701,9
25,73,0060938412,5
29,75,1558531025,5
32,81,0375410538,5
35,91,0316769487,9
37,97,0671867156,7
38,107,0671864769,8
39,110,0440222303,6
47,178,0451410319,6
49,190,0002740230,7
52,212,0060801263,8
53,215,0061030147,6
54,217,0140250964,8
55,226,0671461494,8
63,273,0671649949,6
65,280,0316769487,7
66,289,0064470113,7
67,289,0553571486,6
68,300,0312963009,5
69,300,0345430476,5
71,300,0380728729,5
72,300,038081840X,5
73,300,0449912302,9
74,300,055329198X,5
75,300,0671018930,5
76,300,0812541642,5
91,475,0679310002,10
93,496,0425182878,8
94,496,055356451X,8
96,512,0671525832,5
97,513,0553279572,9
107,620,0140021566,6
110,620,0449245691,7
111,641,0064407667,5
113,649,0375501347,7
114,650,0060927240,7
124,744,0425113892,7
125,744,042512892X,8
126,744,0425137945,8
127,756,0553568760,5
128,757,034538184X,8
129,765,1573229385,8
131,767,0945397410,10
135,780,0449911004,10
144,903,0876855575,9
157,999,0441003257,7
158,1003,0451202503,5
163,1022,0375702709,10
164,1022,044990928X,8
171,1057,038533303X,6
173,1057,0451163753,10
183,1093,0312983212,6
192,1164,0380012774,10
193,1174,0231105592,4
200,1180,0812565959,10
201,1210,0679731148,9
202,1214,0451522389,8
203,1214,0380600129,8
217,1267,0060094850,5
219,1281,0345446860,7
223,1344,0786014210,8
226,1360,157566559X,7
229,1376,0345417623,8
230,1376,042517736X,7
231,1376,0425172554,7
232,1376,0425177173,9
233,1396,0380727501,10
234,1403,0345440773,8
237,1427,0062502182,10
238,1433,0743418174,3
242,1473,1587991039,10
244,1486,0971880107,5
246,1491,0451524829,7
248,1513,0671510053,8
250,1519,0671028375,8
253,1535,067976402X,10
254,1535,006017935X,7
257,1583,0060908548,5
261,1616,0553580876,9
264,1619,0440225701,9
265,1619,0553578693,7
267,1619,0553280341,7
269,1641,0553375407,7
271,1654,1562477676,8
273,1684,0385254520,8
291,1803,0385504209,9
298,1841,0451208811,5
301,1888,0375726624,8
303,1915,0440224659,7
304,1918,1841492086,8
306,1947,0679748083,9
309,1949,0425175405,8
312,1978,0425185702,10
313,1989,0684862719,9
316,2035,0140376410,8
321,2060,0380896931,9
322,2063,0971942315,8
323,2070,0553275860,9
326,2104,0671010115,8
327,2105,0671004549,7
328,2109,055356160X,4
330,2147,0689859376,8
331,2148,0316182540,8
335,2181,0765341840,8
336,2198,0451524934,10
337,2199,0099771519,9
339,2219,0192816489,8
342,2238,0553348981,10
343,2238,034536662X,10
347,2271,0684874350,10
353,2312,0140348107,8
356,2340,0373250290,4
357,2345,1844262553,9
358,2350,0525945172,8
360,2357,0375725784,8
362,2366,0553210092,8
365,2379,0440224624,8
366,2385,0446604666,6
367,2385,0440216745,7
368,2385,1857027795,8
375,2425,0425175006,7
380,2461,0446363170,9
381,2461,0553562967,7
382,2466,0312971346,9
383,2466,0312966970,9
384,2466,0399147101,10
387,2470,0449146383,9
389,2470,0553378260,5
391,2481,0140280553,8
392,2481,0312850581,9
393,2481,0930031067,8
397,2501,0500280673,10
398,2503,1400034779,7
400,2528,0671867156,10
406,2550,052594527X,10
412,2605,0767907817,7
414,2611,0553208845,7
434,2759,0156007568,5
435,2759,0385199570,10
442,2850,0425173615,8
444,2872,0812551532,8
449,2966,038531258X,7
450,2972,0553080237,6
451,2973,0679459596,8
454,2992,0385420161,9
456,3005,0452277337,5
457,3005,0312278586,5
465,3061,0439339170,8
470,3071,1558214291,5
480,3106,0451456718,10
481,3106,0451456726,5
482,3106,0451456734,10
483,3106,0765342987,10
484,3106,0312872399,8
487,3133,0061097314,9
494,3194,0875421180,10
496,3209,0460872125,8
499,3296,0060283122,9
503,3362,0375725784,7
504,3362,0345419995,6
505,3362,0385238614,3
510,3404,0836218221,10
528,3541,0553582755,8
538,3588,0156628708,7
540,3603,156352600X,8
541,3604,0679427651,5
542,3611,0595168442,6
543,3613,044041668X,8
544,3619,0375501371,4
545,3622,006447335X,1
550,3667,0375410848,8
554,3674,0887309100,8
557,3694,0446523569,8
559,3712,0394838475,8
564,3768,0061059137,1
565,3768,059044316X,5
568,3789,0380017601,10
571,3800,0920668372,10
581,3837,081120958X,8
582,3842,0452282101,7
604,3938,0553571818,9
607,3940,2877141519,8
618,3959,0440211158,8
622,3983,0446679763,6
623,3983,0684843110,8
624,3983,0867162791,6
625,3983,156955028X,6
626,3983,1585420654,5
627,3983,1587430665,5
629,3999,0385504209,10
631,4016,0064403645,7
638,4053,0374129983,2
640,4059,006101351X,6
641,4059,0380817446,7
645,4085,0670813028,8
646,4096,0061031429,6
649,4122,0812522400,8
652,4148,0373292945,5
662,4187,0399150897,9
663,4187,0449911160,7
665,4198,0439164842,10
671,4248,0062512668,7
672,4258,0425187063,7
681,4375,0786889098,3
682,4386,0070212570,8
683,4386,0452282829,6
685,4418,0066214688,9
689,4444,0312420021,6
691,4495,0138700982,7
692,4497,0515093556,1
696,4521,0061095540,5
699,4556,042517736X,8
701,4556,0451202856,7
703,4573,0609809547,10
704,4574,038550926X,5
708,4639,0393321096,5
713,4714,0671619373,9
714,4732,067976402X,9
718,4776,059045563X,8
724,4806,1400049520,9
731,4844,0140255842,8
732,4870,0515116173,8
733,4875,157586326X,6
734,4912,0553210823,7
735,4914,0451451686,10
742,4973,0385484518,8
745,4973,0767901649,7
750,4998,0393049515,9
753,5003,0452282152,7
754,5012,0394574745,10
755,5030,0671868314,6
758,5040,0399145087,6
761,5062,0451408721,1
762,5066,0064472574,10
765,5101,0060977493,5
771,5153,0864426224,9
772,5153,1864501235,9
